LocusTag	CycId
YALI0E03498g	G1FV3-24170-MONOMER
YALI0E14388g	G1FV3-24657-MONOMER
YALI0A08646g	G1FV3-30774-MONOMER
YALI0D04532r	G1FV3-27254-MONOMER
YALI0C11209g	G1FV3-28784-MONOMER
YALI0E17963g	G1FV3-24815-MONOMER
YALI0E29007g	G1FV3-25319-MONOMER
YALI0E31999g	G1FV3-25462-MONOMER
YALI0A07142g	G1FV3-30711-MONOMER
YALI0C16907g	G1FV3-29028-MONOMER
YALI0E05357g	G1FV3-24254-MONOMER
YALI0A00594g	G1FV3-30440-MONOMER
YALI0C13332g	G1FV3-28872-MONOMER
YALI0E16797g	G1FV3-24764-MONOMER
YALI0E02574g	G1FV3-24129-MONOMER
YALI0C23452g	G1FV3-29324-MONOMER
YALI0D23903g	G1FV3-28129-MONOMER
YALI0D07700g	G1FV3-27400-MONOMER
YALI0F29843g	G1FV3-26952-MONOMER
YALI0E09823g	G1FV3-24449-MONOMER
YALI0E24651g	G1FV3-25119-MONOMER
YALI0B04246g	G1FV3-29549-MONOMER
YALI0A09262g	G1FV3-30799-MONOMER
YALI0A15169g	G1FV3-31043-MONOMER
YALI0C01419g	G1FV3-28345-MONOMER
YALI0F19954r	G1FV3-26521-MONOMER
YALI0D11968g	G1FV3-27599-MONOMER
YALI0A18678g	G1FV3-31193-MONOMER
YALI0F05803g	G1FV3-25878-MONOMER
YALI0E21263r	G1FV3-24963-MONOMER
YALI0E07920g	G1FV3-24362-MONOMER
YALI0E23265g	G1FV3-25053-MONOMER
YALI0E16577g	G1FV3-24754-MONOMER
YALI0F16093g	G1FV3-26345-MONOMER
YALI0B11990r	G1FV3-29892-MONOMER
YALI0E10747g	G1FV3-24492-MONOMER
YALI0A17946g	G1FV3-31160-MONOMER
YALI0B23485r	G1FV3-30415-MONOMER
YALI0B02904g	G1FV3-29495-MONOMER
YALI0D02519g	G1FV3-27169-MONOMER
YALI0E34606g	G1FV3-25588-MONOMER
YALI0C09845g	G1FV3-28721-MONOMER
YALI0F25201g	G1FV3-26753-MONOMER
YALI0F23133g	G1FV3-26662-MONOMER
YALI0A04719g	G1FV3-30614-MONOMER
YALI0E19943g	G1FV3-24904-MONOMER
YALI0F29865g	G1FV3-26953-MONOMER
YALI0B07667g	G1FV3-29701-MONOMER
YALI0D05973g	G1FV3-27321-MONOMER
YALI0E07095g	G1FV3-24329-MONOMER
YALI0E03520g	G1FV3-24171-MONOMER
YALI0E14388g1	G1FV3-24658-MONOMER
YALI0D11990g	G1FV3-27600-MONOMER
YALI0E17985g	G1FV3-24816-MONOMER
YALI0F00264g	G1FV3-25624-MONOMER
YALI0E29029g	G1FV3-25320-MONOMER
YALI0F01694g	G1FV3-25689-MONOMER
YALI0F22583g	G1FV3-26639-MONOMER
YALI0E12199g	G1FV3-24559-MONOMER
YALI0C00363g	G1FV3-28297-MONOMER
YALI0D26862g	G1FV3-28262-MONOMER
YALI0A02310g	G1FV3-30514-MONOMER
YALI0F14663g	G1FV3-26279-MONOMER
YALI0D07722g	G1FV3-27401-MONOMER
YALI0D12012g	G1FV3-27601-MONOMER
YALI0D18018g	G1FV3-27862-MONOMER
YALI0E02596g	G1FV3-24130-MONOMER
YALI0D23925g	G1FV3-28130-MONOMER
YALI0C04411g	G1FV3-28476-MONOMER
YALI0F07205r	G1FV3-25946-MONOMER
YALI0F26675g	G1FV3-26820-MONOMER
YALI0A20702g	G1FV3-31280-MONOMER
YALI0F29887g	G1FV3-26954-MONOMER
YALI0C09867t	G1FV3-28722-MONOMER
YALI0B17622g	G1FV3-30147-MONOMER
YALI0B19558g	G1FV3-30233-MONOMER
YALI0E24673g	G1FV3-25120-MONOMER
YALI0A12452r	G1FV3-30939-MONOMER
YALI0A09284g	G1FV3-30800-MONOMER
YALI0B01298g	G1FV3-29424-MONOMER
YALI0F19976g	G1FV3-26522-MONOMER
YALI0B09119g	G1FV3-29762-MONOMER
YALI0C16951g	G1FV3-29030-MONOMER
YALI0E31581g	G1FV3-25439-MONOMER
YALI0A08668g	G1FV3-30775-MONOMER
YALI0C14410g	G1FV3-28916-MONOMER
YALI0F16115g	G1FV3-26346-MONOMER
YALI0C09889g	G1FV3-28723-MONOMER
YALI0E33561g	G1FV3-25538-MONOMER
YALI0B22792g	G1FV3-30382-MONOMER
YALI0D21472g	G1FV3-28019-MONOMER
YALI0D12034r	G1FV3-27602-MONOMER
YALI0B14663g	G1FV3-30010-MONOMER
YALI0B12034g	G1FV3-29893-MONOMER
YALI0A01265g	G1FV3-30468-MONOMER
YALI0E11363g	G1FV3-24520-MONOMER
YALI0F29909g	G1FV3-26955-MONOMER
YALI0D18788g	G1FV3-27896-MONOMER
YALI0D02497g	G1FV3-27168-MONOMER
YALI0D22913g	G1FV3-28084-MONOMER
YALI0D09141g	G1FV3-27466-MONOMER
YALI0C01441g	G1FV3-28346-MONOMER
YALI0E03542g	G1FV3-24172-MONOMER
YALI0C15158g	G1FV3-28948-MONOMER
YALI0E14406t	G1FV3-24659-MONOMER
YALI0B04268g	G1FV3-29550-MONOMER
YALI0E22572g	G1FV3-25020-MONOMER
YALI0E18007g	G1FV3-24817-MONOMER
YALI0A08917t	G1FV3-30784-MONOMER
YALI0E32035g	G1FV3-25463-MONOMER
YALI0A17578g	G1FV3-31144-MONOMER
YALI0E29051g	G1FV3-25321-MONOMER
YALI0C10098g	G1FV3-28732-MONOMER
YalifMp19	G1FV3-31333-MONOMER
YALI0A04147r	G1FV3-30589-MONOMER
YALI0D12056g	G1FV3-27603-MONOMER
YALI0B09141g	G1FV3-29763-MONOMER
YALI0D02541t	G1FV3-27170-MONOMER
