LocusTag	CycId
Lipst1_1_31414	G1IA6-20036-MONOMER
Lipst1_1_276855	G1IA6-19448-MONOMER
Lipst1_1_3208	G1IA6-20037-MONOMER
Lipst1_1_259626	G1IA6-18907-MONOMER
Lipst1_1_3211	G1IA6-20038-MONOMER
Lipst1_1_3212	G1IA6-20039-MONOMER
Lipst1_1_35483	G1IA6-20588-MONOMER
Lipst1_1_259634	G1IA6-18908-MONOMER
Lipst1_1_3214	G1IA6-20040-MONOMER
Lipst1_1_110915	G1IA6-19293-MONOMER
Lipst1_1_3216	G1IA6-20041-MONOMER
Lipst1_1_2599	G1IA6-18909-MONOMER
Lipst1_1_3220	G1IA6-20042-MONOMER
Lipst1_1_3225	G1IA6-20043-MONOMER
Lipst1_1_3726	G1IA6-20589-MONOMER
Lipst1_1_259921	G1IA6-18910-MONOMER
Lipst1_1_3231	G1IA6-20044-MONOMER
Lipst1_1_2766	G1IA6-19445-MONOMER
Lipst1_1_72757	G1IA6-21370-MONOMER
Lipst1_1_226615	G1IA6-24482-MONOMER
Lipst1_1_3233	G1IA6-20046-MONOMER
Lipst1_1_117025	G1IA6-19296-MONOMER
Lipst1_1_31137	G1IA6-24483-MONOMER
Lipst1_1_32360	G1IA6-20047-MONOMER
Lipst1_1_3787	G1IA6-20603-MONOMER
Lipst1_1_32415	G1IA6-20048-MONOMER
Lipst1_1_245474	G1IA6-18791-MONOMER
Lipst1_1_7428	G1IA6-24484-MONOMER
Lipst1_1_3243	G1IA6-20049-MONOMER
Lipst1_1_70804	G1IA6-19784-MONOMER
Lipst1_1_2602	G1IA6-18913-MONOMER
Lipst1_1_7430	G1IA6-24485-MONOMER
Lipst1_1_32460	G1IA6-20052-MONOMER
Lipst1_1_3740	G1IA6-20591-MONOMER
Lipst1_1_2604	G1IA6-18914-MONOMER
Lipst1_1_117091	G1IA6-19299-MONOMER
Lipst1_1_3247	G1IA6-20053-MONOMER
Lipst1_1_72760	G1IA6-21371-MONOMER
Lipst1_1_32493	G1IA6-20054-MONOMER
Lipst1_1_76751	G1IA6-24486-MONOMER
Lipst1_1_62783	G1IA6-19649-MONOMER
Lipst1_1_26939	G1IA6-19378-MONOMER
Lipst1_1_2608	G1IA6-18915-MONOMER
Lipst1_1_117310	G1IA6-19300-MONOMER
Lipst1_1_3251	G1IA6-20056-MONOMER
Lipst1_1_76753	G1IA6-24487-MONOMER
Lipst1_1_3056	G1IA6-19532-MONOMER
Lipst1_1_3252	G1IA6-20057-MONOMER
Lipst1_1_3749	G1IA6-20592-MONOMER
Lipst1_1_117342	G1IA6-19301-MONOMER
Lipst1_1_3258	G1IA6-20058-MONOMER
Lipst1_1_72763	G1IA6-21372-MONOMER
Lipst1_1_336494	G1IA6-18942-MONOMER
Lipst1_1_76754	G1IA6-24488-MONOMER
Lipst1_1_2782	G1IA6-19460-MONOMER
Lipst1_1_3259	G1IA6-20059-MONOMER
Lipst1_1_104241	G1IA6-19270-MONOMER
Lipst1_1_2615	G1IA6-18917-MONOMER
Lipst1_1_3262	G1IA6-20061-MONOMER
Lipst1_1_2806	G1IA6-19469-MONOMER
Lipst1_1_3265	G1IA6-20062-MONOMER
Lipst1_1_3751	G1IA6-20593-MONOMER
Lipst1_1_2620	G1IA6-18918-MONOMER
Lipst1_1_72765	G1IA6-21373-MONOMER
Lipst1_1_3267	G1IA6-20063-MONOMER
Lipst1_1_3175	G1IA6-19572-MONOMER
Lipst1_1_264896	G1IA6-19333-MONOMER
Lipst1_1_273110	G1IA6-19412-MONOMER
Lipst1_1_2633	G1IA6-18919-MONOMER
Lipst1_1_2892	G1IA6-19488-MONOMER
Lipst1_1_3271	G1IA6-20065-MONOMER
Lipst1_1_3272	G1IA6-20066-MONOMER
Lipst1_1_3756	G1IA6-20594-MONOMER
Lipst1_1_2634	G1IA6-18920-MONOMER
Lipst1_1_31174	G1IA6-24569-MONOMER
Lipst1_1_72767	G1IA6-21374-MONOMER
Lipst1_1_104154	G1IA6-19264-MONOMER
Lipst1_1_336683	G1IA6-18946-MONOMER
Lipst1_1_3275	G1IA6-20068-MONOMER
Lipst1_1_2821	G1IA6-19473-MONOMER
Lipst1_1_80468	G1IA6-19241-MONOMER
Lipst1_1_37982	G1IA6-20608-MONOMER
Lipst1_1_3276	G1IA6-20069-MONOMER
Lipst1_1_26358	G1IA6-18921-MONOMER
Lipst1_1_3288	G1IA6-20070-MONOMER
Lipst1_1_3289	G1IA6-20071-MONOMER
Lipst1_1_260472	G1IA6-19307-MONOMER
Lipst1_1_3763	G1IA6-20595-MONOMER
Lipst1_1_2637	G1IA6-18923-MONOMER
Lipst1_1_3290	G1IA6-20072-MONOMER
Lipst1_1_70020	G1IA6-19160-MONOMER
Lipst1_1_72774	G1IA6-21375-MONOMER
Lipst1_1_3299	G1IA6-20074-MONOMER
Lipst1_1_260551	G1IA6-19308-MONOMER
Lipst1_1_263551	G1IA6-19327-MONOMER
Lipst1_1_71519	G1IA6-20340-MONOMER
Lipst1_1_3300	G1IA6-20075-MONOMER
Lipst1_1_26396	G1IA6-18924-MONOMER
Lipst1_1_3304	G1IA6-20076-MONOMER
Lipst1_1_3764	G1IA6-20596-MONOMER
Lipst1_1_3310	G1IA6-20077-MONOMER
Lipst1_1_72782	G1IA6-21376-MONOMER
